geo,iso3,year,learning,learning_percentile,ef_percentile,gap_pct
AT,AUT,2012,98.6,1.0,,
DE,DEU,2012,72.1,0.5,,
DK,DNK,2012,66.02000000000001,0.375,,
HR,HRV,2012,92.86,0.875,,
HU,HUN,2012,57.480000000000004,0.125,,
LV,LVA,2012,86.4,0.625,,
PT,PRT,2012,64.0,0.25,,
RO,ROU,2012,88.08,0.75,,
AT,AUT,2013,99.53999999999999,0.9,0.7307692307692307,-0.1692307692307693
BE,BEL,2013,56.14000000000001,0.06666666666666667,0.6538461538461539,0.5871794871794872
BG,BGR,2013,83.66,0.36666666666666664,0.34615384615384615,-0.020512820512820495
CY,CYP,2013,96.24,0.7666666666666667,,
CZ,CZE,2013,87.0,0.5,0.4230769230769231,-0.07692307692307693
DE,DEU,2013,69.03999999999999,0.26666666666666666,0.7692307692307693,0.5025641025641026
DK,DNK,2013,62.660000000000004,0.16666666666666666,0.9230769230769231,0.7564102564102565
ES,ESP,2013,79.6,0.3333333333333333,0.23076923076923078,-0.10256410256410253
EE,EST,2013,85.88,0.4666666666666667,,
FI,FIN,2013,91.16,0.6,0.8461538461538461,0.24615384615384617
FR,FRA,2013,96.8,0.8,0.19230769230769232,-0.6076923076923078
HR,HRV,2013,93.44,0.7,,
HU,HUN,2013,60.98,0.13333333333333333,0.46153846153846156,0.32820512820512826
IE,IRL,2013,0.0,0.03333333333333333,,
IS,ISL,2013,67.44,0.23333333333333334,,
IT,ITA,2013,97.08,0.8333333333333334,0.15384615384615385,-0.6794871794871795
LI,LIE,2013,100.0,0.9666666666666667,,
LT,LTU,2013,84.42,0.4,0.2692307692307692,-0.1307692307692308
LU,LUX,2013,56.7,0.1,0.8076923076923077,0.7076923076923077
LV,LVA,2013,89.2,0.5666666666666667,,
MK,MKD,2013,99.17500000000001,0.8666666666666667,,
MT,MLT,2013,100.0,0.9666666666666667,,
NL,NLD,2013,76.56,0.3,1.0,0.7
NO,NOR,2013,100.0,0.9666666666666667,0.8846153846153846,-0.08205128205128209
PL,POL,2013,91.42,0.6666666666666666,0.6923076923076923,0.02564102564102566
